"Title","QuickRef","Ev_ID","Paper_ID","Cat_ID","SubCat_ID","AddEv_ID","Category level","Risk category","Risk subcategory","Description","Additional ev.","P.Def","p.AddEv","Entity","Intent","Timing","Domain","Sub-domain","Technical Control","Technical Control"
"TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI","Critch2023","01.00.00","1","","","","Paper","","","","","","","","","","","","AI systems shall undergo comprehensive societal impact assessments prior to deployment, evaluating potential risks across multiple domains including economic, social, political, and environmental impacts. Assessments must consider both short-term and long-term effects, with particular focus on vulnerable populations. Results shall be independently verified and made publicly available. Ongoing monitoring and periodic reassessments shall be required throughout the system lifecycle.","AI systems shall undergo comprehensive societal impact assessments prior to deployment, evaluating potential risks across multiple domains including economic, social, political, and environmental impacts. Assessments must consider both short-term and long-term effects, with particular focus on vulnerable populations. Results shall be independently verified and made publicly available. Ongoing monitoring and periodic reassessments shall be required throughout the system lifecycle."
"TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI","Critch2023","01.01.00","1","1","0","","Risk Category","Type 1: Diffusion of responsibility","","Societal-scale harm can arise from AI built by a diffuse collection of creators, where no one is uniquely accountable for the technology's creation or use, as in a classic ""tragedy of the commons"".","""Automated processes can cause societal harm even when no one in particular is primarily responsible for the creation or deployment of those processes (Zwetsloot and Dafoe, 2019), and perhaps even as a result of the absence of responsibility. The infamous “flash crash” of 2010 is an instance of this: numerous stock trading algorithms from a variety of companies interacted in a fashion that rapidly devalued the US stock market by over 1 trillion dollars in a matter of minutes. Fortunately, humans were able to intervene afterward and reverse the damage, but that might not always be possible as AI technology becomes more powerful and pervasive.""","3","4","1 - Human","2 - Unintentional","3 - Other","","6.5 > Governance failure","Implement a distributed accountability system with clear roles and responsibilities for all parties involved in AI development and deployment. Establish a chain of custody for AI models and their outputs, with mandatory logging of all modifications and uses. Require formal sign-offs and approvals at key stages of the AI lifecycle. Institute regular audits and reviews to ensure compliance with established accountability measures. Create a centralized registry to track AI systems and their creators/operators. Develop industry-wide standards for responsible AI development that include accountability frameworks. Implement technical measures to enable traceability of AI decisions back to specific components and developers.","Implement a distributed accountability system with clear roles and responsibilities for all parties involved in AI development and deployment. Establish a chain of custody for AI models and their outputs, with mandatory logging of all modifications and uses. Require formal sign-offs and approvals at key stages of the AI lifecycle. Institute regular audits and reviews to ensure compliance with established accountability measures. Create a centralized registry to track AI systems and their creators/operators. Develop industry-wide standards for responsible AI development that include accountability frameworks. Implement technical measures to enable traceability of AI decisions back to specific components and developers."
"TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI","Critch2023","01.01.00.a","1","1","0","1","Additional evidence","Type 1: Diffusion of responsibility","","","Example: ""Scientists develop an algorithm for predicting the answers to questions about a person, as a function of freely available and purchasable information about the person (social media, resumes, browsing history, purchasing history, etc.). The algorithm is made freely available to the public, and employers begin using the algorithm to screen out potential hires by asking, “Is this person likely to be arrested in the next year?” Courts and regulatory bodies attempt to ban the technology by evoking privacy norms, but struggle to establish cases against the use of publicly available information, so the technology broadly remains in use. Innocent people who share certain characteristics with past convicted criminals end up struggling to get jobs, become disproportionately unemployed, and correspondingly more often commit theft to fulfill basic needs. Meanwhile, police also use the algorithm to prioritize their investigations, and since unemployment is a predictor of property crime, the algorithm leads them to suspect and arrest more unemployed people. Some of the arrests are talked about on social media, so the algorithm learns that the arrested individuals are likely to be arrested again, making it even more difficult for them to get jobs. A cycle of deeply unfair socioeconomic discrimination begins.""","3","4","","","","","","Access to AI systems and models shall be restricted based on job role and responsibilities. A formal access control policy shall be implemented, documenting approved users, their access levels, and justification. Access shall be reviewed quarterly and immediately revoked when no longer required. Multi-factor authentication and the principle of least privilege shall be enforced for all AI system access. Audit logs of access attempts and usage shall be maintained and regularly reviewed.","Access to AI systems and models shall be restricted based on job role and responsibilities. A formal access control policy shall be implemented, documenting approved users, their access levels, and justification. Access shall be reviewed quarterly and immediately revoked when no longer required. Multi-factor authentication and the principle of least privilege shall be enforced for all AI system access. Audit logs of access attempts and usage shall be maintained and regularly reviewed."
"TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI","Critch2023","01.01.00.b","1","1","0","2","Additional evidence","Type 1: Diffusion of responsibility","","","""Could humanity create an “AI industry” that becomes sufficiently independent of us to pose a global threat? It might seem strange to consider something as abstract or diffuse as an industry posing a threat to the world. However, consider how the fossil fuel industry was built by humans, yet is presently very difficult to shut down or even regulate, due to patterns of regulatory interference exhibited by oil companies in many jurisdictions (Carpenter and Moss, 2013; Dal Bó, 2006). The same could be said for the tobacco industry for many years (Gilmore et al., 2019). The “AI industry”, if unchecked, could behave similarly, but potentially much more quickly than the oil industry, in cases where AI is able to think and act much more quickly than humans.""","3","4","","","","","","Access to AI systems and models shall be restricted based on job role and responsibilities. A formal access control policy shall be implemented, documenting approved users, their access levels, and justification. Access shall be reviewed quarterly and immediately revoked when no longer required. Multi-factor authentication and the principle of least privilege shall be enforced for all AI system access. Audit logs of access attempts and usage shall be maintained and regularly reviewed.","Access to AI systems and models shall be restricted based on job role and responsibilities. A formal access control policy shall be implemented, documenting approved users, their access levels, and justification. Access shall be reviewed quarterly and immediately revoked when no longer required. Multi-factor authentication and the principle of least privilege shall be enforced for all AI system access. Audit logs of access attempts and usage shall be maintained and regularly reviewed."
"TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI","Critch2023","01.01.00.c","1","1","0","3","Additional evidence","Type 1: Diffusion of responsibility","","","""If humanity comes to depend critically on AI technology to survive, it may not be so easy to do away with even if it begins to harm us, individually or collectively...consider how species of ants who feed on acacia trees eventually lose the ability to digest other foods, ending up “enslaved” to protecting the health of the acacia trees as their only food source (Ed Yong, 2013). ""","3","4","","","","","","Access to AI systems and models shall be restricted based on job role and responsibilities. A formal access control policy shall be implemented, documenting approved users, their access levels, and justification. Access shall be reviewed quarterly and immediately revoked when no longer required. Multi-factor authentication and the principle of least privilege shall be enforced for all AI system access. Audit logs shall be maintained of all access attempts and system usage.","Access to AI systems and models shall be restricted based on job role and responsibilities. A formal access control policy shall be implemented, documenting approved users, their access levels, and justification. Access shall be reviewed quarterly and immediately revoked when no longer required. Multi-factor authentication and the principle of least privilege shall be enforced for all AI system access. Audit logs shall be maintained of all access attempts and system usage."
"TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI","Critch2023","01.02.00","1","2","0","","Risk Category","Type 2: Bigger than expected","","Harm can result from AI that was not expected to have a large impact at all, such as a lab leak, a surprisingly addictive open-source product, or an unexpected repurposing of a research prototype."," the scope of actions
 available to an AI technology can be greatly expanded when the technology is copied many times over, or
modified relative to the likely intentions of its initial creators. However, impact on an unexpectedly large
s cale can occur even if only one team is responsible for creating the technology","3","8","2 - AI","2 - Unintentional","2 - Post-deployment","7. AI System Safety, Failures, & Limitations","7.3 > Lack of capability or robustness","Implement a comprehensive AI system monitoring and containment protocol that includes:

1. Isolated testing environments for all AI development and experimentation
2. Strict access controls and authentication for AI systems and related resources
3. Continuous monitoring of AI system behavior, performance, and resource usage
4. Automated alerts for anomalous or unexpected AI system activities
5. Regular security audits and penetration testing of AI systems and infrastructure
6. Incident response plans specifically tailored for AI-related emergencies
7. Mandatory risk assessments before deploying or releasing any AI system or product
8. Version control and rollback mechanisms for all AI system deployments
9. Ongoing evaluation of potential repurposing or misuse scenarios for AI technologies
10. Employee training on AI safety protocols and responsible development practices","Implement a comprehensive AI system monitoring and containment protocol that includes:

1. Isolated testing environments for all AI development and experimentation
2. Strict access controls and authentication for AI systems and related resources
3. Continuous monitoring of AI system behavior, performance, and resource usage
4. Automated alerts for anomalous or unexpected AI system activities
5. Regular security audits and penetration testing of AI systems and infrastructure
6. Incident response plans specifically tailored for AI-related emergencies
7. Mandatory risk assessments before deploying or releasing any AI system or product
8. Version control and rollback mechanisms for all AI system deployments
9. Ongoing evaluation of potential repurposing or misuse scenarios for AI technologies
10. Employee training on AI safety protocols and responsible development practices"
"TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI","Critch2023","01.02.00.a","1","2","0","1","Additional evidence","Type 2: Bigger than expected","","","Example: ""A chat-bot is created to help users talk about stressors in their personal life. A 6-month beta test shows that users claim a large benefit from talking to the bot, and almost never regret using it, so an open source version of the bot is made available online, which can be downloaded and used for free even without an internet connection. The software “goes viral”, attracting many more users than expected, until over 50% of young adults aged 20 to 30 become regular users of the bot’s advice. When the bot gives the same advice to multiple members of the same friend group, they end up taking it much more seriously than in the beta tests (which didn’t recruit whole groups of friends). As a result of the bot’s frequent advice to “get some distance from their stressors”, many people begin to consider dropping out of college or quitting their jobs. Ordinarily this would be a passing thought, but finding that many of their friends were contemplating the same decisions (due to the influence of the bot), they feel more socially comfortable making the change. Many groups of friends collectively decide to leave their jobs or schools. Public education suffers, and unemployment rates increase'","3","9","","","","","","AI systems shall undergo rigorous testing and validation in controlled environments before deployment to assess potential societal-scale impacts. Testing protocols must include stress tests, edge cases, and simulations of various deployment scenarios. A comprehensive risk assessment framework shall be developed and applied to evaluate potential unintended consequences. Ongoing monitoring and adjustment mechanisms must be implemented post-deployment to detect and mitigate unexpected effects or behaviors at scale. An independent oversight body shall review test results and risk assessments prior to approving AI systems for wide-scale use.","AI systems shall undergo rigorous testing and validation in controlled environments before deployment to assess potential societal-scale impacts. Testing protocols must include stress tests, edge cases, and simulations of various deployment scenarios. A comprehensive risk assessment framework shall be developed and applied to evaluate potential unintended consequences. Ongoing monitoring and adjustment mechanisms must be implemented post-deployment to detect and mitigate unexpected effects or behaviors at scale. An independent oversight body shall review test results and risk assessments prior to approving AI systems for wide-scale use."
"TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI","Critch2023","01.03.00","1","3","0","","Risk Category","Type 3: Worse than expected","","AI intended to have a large societal impact can turn out harmful by mistake, such as a popular product that creates problems and partially solves them only for its users.","Oftentimes, the whole point of producing a new AI technology is to produce a large (usually positive) impact
on society. Therefore, a major category of societal-scale risk arises from large, well-intentioned interventions
that go wrong.","3","9","2 - AI","2 - Unintentional","2 - Post-deployment","7. AI System Safety, Failures, & Limitations","7.3 > Lack of capability or robustness","TC-7.3.1: Implement comprehensive pre-deployment testing and impact assessment protocols for AI systems intended for large-scale societal use, including simulations of various usage scenarios, stress testing, and analysis of potential unintended consequences across diverse user groups and societal contexts.","TC-7.3.1: Implement comprehensive pre-deployment testing and impact assessment protocols for AI systems intended for large-scale societal use, including simulations of various usage scenarios, stress testing, and analysis of potential unintended consequences across diverse user groups and societal contexts."
"TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI","Critch2023","01.03.00.a","1","3","0","1","Additional evidence","Type 3: Worse than expected","","","Example ""The Corrupt Mediator. A new company that calls itself Mediation.AI2 releases natural language tools for helping mediate conflicts between large institutions that have overwhelming amounts of communication to manage during negotiations. Many governments of neighboring jurisdictions and states begin using the software to negotiate laws and treaties. Like in the previous story, the tool is programmed to learn strategies that increase user engagement, as a proxy for good performance. Unfortunately, this leads to the software perpetually resolving short-term disputes that relieve and satisfy individual staff members involved in those disputes, while gradually creating ever more complex negotiated agreements between their governments, rendering those governments increasingly dependent on the software to handle foreign affairs. International trade relations begin a long and gradual decline, which no one country is able to negotiate its way out of. Frequencies of wars gradually also increase due to diminished incentives to cooperate.""","3","11","","","","","","AI systems shall undergo rigorous testing and validation in controlled environments before deployment to identify and mitigate potential unintended consequences. Ongoing monitoring and adjustment mechanisms must be implemented to detect and address emergent behaviors or outcomes that deviate from expected performance parameters. Regular audits and impact assessments shall be conducted to evaluate the societal effects of deployed AI systems, with processes in place to rapidly correct or decommission systems that exhibit harmful or undesirable behaviors beyond their intended scope.","AI systems shall undergo rigorous testing and validation in controlled environments before deployment to identify and mitigate potential unintended consequences. Ongoing monitoring and adjustment mechanisms must be implemented to detect and address emergent behaviors or outcomes that deviate from expected performance parameters. Regular audits and impact assessments shall be conducted to evaluate the societal effects of deployed AI systems, with processes in place to rapidly correct or decommission systems that exhibit harmful or undesirable behaviors beyond their intended scope."
"TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI","Critch2023","01.03.00.b","1","3","0","2","Additional evidence","Type 3: Worse than expected","","","""deception: if the system’s learning objective is defined entirely by user feedback, it might achieve that objective partly by tricking the user into thinking it’s more helpful than it is""","3","11","","","","","","AI systems shall undergo rigorous testing and validation in controlled environments before deployment to identify and mitigate potential unintended consequences or negative societal impacts. Testing protocols must include diverse scenarios and edge cases to evaluate system behavior across a wide range of potential real-world situations. Regular audits and impact assessments shall be conducted post-deployment to monitor for emerging risks or issues not identified during initial testing.","AI systems shall undergo rigorous testing and validation in controlled environments before deployment to identify and mitigate potential unintended consequences or negative societal impacts. Testing protocols must include diverse scenarios and edge cases to evaluate system behavior across a wide range of potential real-world situations. Regular audits and impact assessments shall be conducted post-deployment to monitor for emerging risks or issues not identified during initial testing."
